RR3_HRT_FLT_F1	RR3_HRT_FLT_F2	RR3_HRT_FLT_F9	RR3_HRT_GC_G7	RR3_HRT_GC_G8	gene_symbol
169	56	29	69	27	Tcf7
16606	15589	27110.48	13708	8358	Ddx3x
1	2	11	6	0	Il12rb1
7	2	2	1	1	Slc5a5
254	210	528	128	186	Kcnn3
2663	2709	4013	2125	1222	Usp32
990	1033	1363	635	246	Car4
1074	1127	1715	843	515	Txnrd3
2	6	5	0	0	Fasl
1128	992	1572	808	471	Zfp512b
4115	3787	6507	3292	2229	Dnajc5
3368	2740	4880	2690	1550	Tpd52l2
759.94	583.05	900.46	564.66	330.96	Fmr1
268	239	332	248	117	Bcl11a
0	1	0	0	0	Il4
1845	1889	2464	1477	786	Pxmp4
229	206	414	225	123	Dlg3
175	133.91	284.68	144	126.35	Gnb1l
585	208	771	241	208	Dbh
470	336	627	300	147	Mmp11
940	744	1371	752	507	Smarcb1
2	0	10	32	0	Vpreb3
1130	906	1537	813	451	Hip1r
373	255	557	296	142	Nsun5
316	275	476	289	121	Top1mt
16	4	12	4	24	Hoxa4
1046	742	1391	681	366	Mmp14
253	168	219	124	19	Slc7a7
5553	4911	8146	4058	2559	Oxa1l
776	693	1086	660	430	Heatr6
2	0	6	2	0	Ccl3
1	0	0	0	0	Wfdc18
45	16	62	8	12	Icam4
1842	1445	2718	1366	820	Ilf2
3446	3141	5411	2837	1556	Chtop
1926	1657	2967	1680	1050	Snapin
332	243	465	273	167	S100a4
2	0	0	0	0	S100a3
2305	1573	3288	1520	601	S100a6
3438	4875	4214	2608	1535	Scn4a
1017	887	1097	640	297	Icam2
331	234	353	251	73	Mapk7
2171	1923	2973	1711	855	Epn2
168	149	179	164	40	B9d1
1752	1815	2163	1175	796	Sec24b
676	441	1036	376	174	N4bp3
748	589	1144	597	357	Rmnd5b
632	509	798	515	310	Nhp2
1581	1252	1912	998	618	Vps9d1
582	489	803	540	350	Zfp276
288	249	335	165	108	Mfsd10
3972	3686	6255	2940	2075	Luzp1
0	3	0	0	0	Slc13a2
2689	2205	3705	2187	1137	Kctd10
6202	5211	9733	4962	3151	Poldip2
1079	744	1411	804	471	Ift20
6230	7406	7938	4501	2129	Col6a1
119	130	153	101	29	Pcbp3
1490	1263	1739	1061	888	Lgals9
3228	2645	5380	2720	1554	Araf
250	214	343	229	76	Cfp
72	75	156	51	28	Timp1
1016.94	738.03	1638.98	806	431	Uxt
737	724	1014	600	282	Cnnm3
1011	1012	1520	857	471	Lman2l
1522	1252	2264	1161	762	Mcm3ap
5525	4802	8245	4292	2865	Pcnt
2	4	17	20	0	Ftcd
276	301	542	297	137	Mxd1
312	268	440	263	217	Gmcl1
1916	1611	2997	1681	961	Snrnp27
29	33	49	10	27	Oas1c
1112	914	1426	937	430	Ocrl
10264	9913	16270	9382	5698	Calm1
12128	11404	14918	8600	4865	Agpat3
48	37	70	6	12	Slc26a3
291	618	430	263	150	Sema6b
139	77	77.95	79	35	Uhrf1
2458	2206	3213	1735	1204	Dpp9
1528.26	2031.49	1946.26	1110.45	544.18	Ramp2
89	65	59	34	25	Lsr
1395	1181	1652	891	641	Gramd1a
124	153	135	117	55	Hpn
2627.97	2145.99	3878.96	2382	1118	Ckb
3362	3626	5374	2861	1652	Sp1
47	53	79	103	43	Itgb7
855.38	605.83	1069.77	634.61	344.16	Myg1
783	675	1123	618	398	Rarg
6082.62	4695.17	9777.22	5246.39	2909.84	Pfdn5
1286	1378	1970	970	510	Efnb2
394	313	603	360	229	Rrp15
175	147	281	173	54	Rnd2
1540	1316	2051	1145	711	Srr
1586	1253	2351	1211	718	Sync
21515	17053	30603	15908	10568	Fndc5
32	54	107	16	6	Acp5
129	181	117	76	64	Cnn1
1383	1028	2145	912	542	Fbxo9
1361	1269	2092	1176	636	Vps50
2316	2028	3468	2029	1108	Hars
2212	1598	3666	1910	920	Zmat2
111	40	79	75	46	Ube2c
3932	3544	6504	3206	2093	Smg5
5949	5215	9263	4825	2954	Cct3
1738	1621	2503	1326	718	Glmp
7138	6963	8695	5352	3105	Mef2d
19	17	43	12	6	Tmem79
5039	4432	7860	4206	2880	Snd1
725	782	841	551	277	Col18a1
211	174	273	159	85	Slc19a1
8574	8495	13877	7362	4246	Kpnb1
3386	3592	5008	2916	1675	Npepps
3	2	6	3	19	Tbx21
2682	2256	4178	2256	1431	Mrpl10
814	616	1296	629	420	Cyp51
8439	7428	12213	6398	3856	Tcf25
1313	1026	1765	971	461	Tubb6
3477	3050	5009	2875	1755	Def8
544	428	523	296	155	Meox1
4	6	7	64	0	Sost
8	7	6	0	0	Pax9
337	112	539	94	65	Irx2
5987	7685	8464	3616	2507	Col1a1
615	852	923	482	295	Itga3
4647	4597	8140	4197	2381	Sgca
1	0	0	0	0	Dlx3
105	65	83	58	25	Foxm1
571	496	702	404	273	Itfg2
169	173	202	134	67	Nrip2
471	430	622	395	318	Tulp3
373	337	615	391	206	Gtf2h4
6224	5388	8263	5275	3159	Tubb5
630	840	866	757	358	Ell2
13891	12953	18588	10304	5868	Jup
852	966	1017	575	320	Fkbp10
29	23	33	19	16	Klhl10
1084	1040	1908	823	637	Nom1
2050	1863	3314	1589	942	Ergic1
7	6	17	9	0	Tnk1
55	36	52	61	9	Acap1
3716	3320	5707	3032	1781	Tcea3
1022	1100	1685	929	613	Ifrd1
912.96	776.05	1595.69	778.28	490.78	Stk38l
922	894	1453	640	403	Brpf1
13124.27	11565.97	21111.54	11191.37	7231.93	Akr1b3
0	0	4	0	0	Hoxc8
1	0	0	1	0	Hoxc6
938	742	1517	766	367	Gstt1
201	217	363	139	86	Gstt3
2087	1496	3187	1631	895	Ddt
11	96	27	4	0	Tat
5	2	0	0	0	Marveld3
1110.76	1163.59	1784.45	905.71	433.91	Ddx18
3478	3069	5011	2764	1532	Ubl3
845	722	1175	715	394	Gramd3
509	414	937	429	303	Eef1e1
8041	6573	10477	6063	3885	Akt1
207	225	321	65	34	Cldn15
1005	544	1200	598	263	Il16
424	327	544	190	181	Tcirg1
496	492	712	319	266	Naglu
536	465	875	453	230	Coasy
1022	870	1306	729	323	Smo
113	105	146	177	34	Tspan33
1863	1484	2714	1462	855	Crnkl1
2086	1659	2807	1344	705	Rin2
9	12	42	6	11	Folh1
2434	2306	3600	2059	1299	Chordc1
4057	3321	6126	3220	1913	Rtcb
1093	886	1657	966	472	Pwp1
742	811	1104	623	408	Fbxo7
6171	6700	8945	4484	2837	Capns1
669	678	968	508	301	Lrp3
2	0	0	2	0	Dsg4
1	0	0	0	0	Hoxd13
12	3	3	0	0	Folr1
5267	4760	7846	4236	2780	Clpb
7939	7352	13107	7299	4172	Septin7
750	516	921	531	270	Zdhhc4
7851	8011	11891	6782	3714	Rac1
1407	1616	2116	1205	661	Nup214
359	152	191	85	84	Aif1l
298	108	475	126	63	Cpa3
5249	5672	7751	5471	2558	Ltbp1
17176	15541	27504	13295	9027	Ugp2
2	1	6	1	0	Kcnh6
1084	900	1358	789	423	Trmt1
2213.19	1576.75	2994.18	1585.67	993.84	Nacc1
4820	4905	5608	3477	2292	Nfix
507	826	919	505	192	Slc1a5
13965	12990	20086	10901	6865	Uba1
12238	7692	4057	11021	1839	Vwf
889	747	1292	673	397	Siae
104	68	98	38	29	Vsig2
2962	3469	3817	1882	991	Esam
144	114	281	129	95	Spa17
854	579	1059	612	336	Fam50a
1561	1253.94	2300.28	1346.74	659.36	Emd
2022	1538	2923	1445	901	Taco1
57	76	75	16	55	Grik3
117	115	135	73	48	Gria3
6233	6928	9211	5039	3092	Sipa1l2
550	458	833	491	253	Ap4e1
742	611	1036	596	280	Blvra
151	120	136	114	49	Pdzd4
1297	1029	1965	973	637	Srpk3
32198	27513	48495	24394	14218	Idh3g
520	463	650	432	181	Pnck
2184	1573	3040	1669	804	Ssr4
2297	2213	3673	2047	1104	Bcap31
1887	1631	2692	1494	752	Fam98a
82	101	409	66	36	Ltbp2
4090	4995	5665	3174	2151	Kmt2a
723	536	1052	497	305	Ift46
666	584	1100	526	344	Tmem25
47	14	19	34	32	Cd3g
593	457	845	402	249	Trappc6a
3696	3767	5322	3166	1968	Supt6
36	25	53	48	28	Spag5
3	0	0	0	0	Foxn1
147	151	231	123	62	Unc119
438	367	543	355	140	Rab34
1996	1501	3052	1469	880	Sdf2
55	76	59	37	9	Ccne1
27	34	53	23	17	Hsf2bp
68	41	62	34	25	Bbc3
192612	193932	359706	189694	111395	Mybpc3
9794	8254	15626	8553	4767	Psmc3
1685	1666	2870	1366	948	Acp2
993	782	1269	641	436	Rapsn
1051	876	1324	767	426	Slc39a13
3194	3743	5353	3045	1830	Celf2
1026	707	1236	515	363	Nr1h3
132	91	198	115	45	Ddb2
119	125	235	154	41	Spi1
2204	2088	3625	2117	1076	Sf3a1
3220	3016	4836	2388	1134	Stat6
0	0	13	0	0	Clgn
90	30	28	75	13	Napsa
900	828	1300	676	444	Vrk3
360	273	462	253	135	Smg9
912	756	1364	574	421	Paxip1
7064	6720	10115	5500	3810	Rmnd5a
263	293	405	196	106	Mov10
881	730	1319	595	402	Ppm1j
2215	2117	2801	1572	768	Rhoc
354	350	398	202	115	Tead3
864	808	831	578	255	Ppard
158	126	130	116	37	Def6
1012	1205	1116	1027	436	Peg3
253	194	333	305	120	Zim1
738	454	880.73	466	411	Metrn
1202	1243	1861	964	560	Lmf1
2101	1729	3314	1736	983	Ciao3
3427	966	857	753	257	Angptl4
81	69	96	56	55	Dbf4
602	616	908	583	322	Daxx
886	664	1132	757	409	Cd320
1631.2	1776.43	2562.76	1500.21	965.89	Ipo4
1869.86	1743.16	2716.9	1510.06	891.58	Tm9sf1
823	638.4	897.4	657	696	Irf9
564	468	765	402	193	Gmpr2
2866	2216	5029	2680	1487	Mdp1
1816	1587	2832	1437	952	Dhrs1
1	8	10	0	1	Ncan
2821	2750	3958	2331	1069	Tmem161a
580	442	675	407	242	Armc6
399	325	573	299	110	Borcs8
3367	4347	3428	2394	1253	Slc25a42
2195	1723	3079	1657	1080	Snx9
2128	1481	3092	1566	910	Ranbp3
18097	13240	26607	13810	6142	Ndufa11
663	473	853	591	391	Nr2f6
3315	2718	5083	2671	1471	Use1
768	582	1033	602	467	Ocel1
710	724	873	521	295	Dyrk1b
1659	1636	2282	1080	701	Braf
9127	6590	10727	6806.99	3998	Ndufb2
1249	1331	1877.99	1042	708	Hltf
2475	2360	4121	2163	1229	Prpf6
311	261	301	212	99	Rgs19
0	2	7	0	1	Rgs20
270	202	362	203	174	Abhd3
820	633	1548	819	461	Snrpd1
268	271	481	235	108	Tchp
518	499	688	424	208	Tiam1
7066	7258	10490	5696	3461	Tsc2
9103	7802	12966	7897	3640	Rpl3l
2993	3049	4432	2037	1232	Slc9a3r2
4045	3014	5577	2833	1584	Puf60
5702	4749	8015	4179	2543	Golga2
726.99	610	1293.92	644	367	Uck1
271	226	485	229	167	Scin
39	42	34	12	22	Ikzf4
1720	1387	2711	1393	650	Mien1
1	13	37	2	0	Pon1
6290	6425	7842	4169	2043	Axl
592	592	650	454	246	Tgfb1
1793	1919	2239	1359	883	Ccdc97
286	210	479	193	136	Zfp40
1986	1104	2640	1259	746	Akap8l
1	0	0	0	0	Shh
632	495	947	449	299	Pdcd2l
1180	845	1735	994	526	Gtf2f1
2647	2262	3667	2005	1025	Clpp
2188	1423	2928	1741	946	Alkbh7
64	31	61	49	9	Dennd1c
616	517	929	487	311	Med6
407	332	597	309	192	Prkd1
181	100	169	138	77	Lcp2
3431	3341	5489	3018	1656	Cse1l
2258.2	1703.67	3943.87	1949.2	1249.63	Naa20
805	697	1325	643	341	Prkra
608	532	923	601	332	Fkbp7
1009	977	1537	890	540	Plekha3
2737	2492	4437	2128	1455	Ykt6
4773	4741	7252	3678	2539	Baz1b
1527	1422	2021	1172	741	Pex6
3703	3017	5252	2798	1628	Mrpl2
1414	1179	2301	1138	543	Mea1
127	92	180	67	75	Gnmt
35	32	59	29	0	Grin2d
2970	2756	4401	2392	1391	Kdelr1
6221	5377	9276	5100	2902	Tmem143
0	2	0	0	0	Pdxk-ps
741	587	1322	695	406	Ggct
1466	1436	1927	1058	674	Jag2
975	891	1375	784	435	Btbd6
215	177	414	223	110	Nudt14
1074	1159	1668	1004	597	Epdr1
7675	7454	11790	6382	3733	Flii
456	330	606	302	192	Top3a
2505	1904	3594	2055	1384	Atg4d
331	202	455	179	108	Qtrt1
21588	23673	25956	12265	8162	Plin4
1906	1193	2241	1321	576	Hdgfl2
163	114	208	121	91	Chaf1a
1525	1483	2224	1168	790	Adprh
414	384	579	319	172	Tmem39a
2490	1892	3489	2008	1145	Timmdc1
961	757	1116	491	321	Pla1a
542	432	547	376	182	Mcm2
1398	1067	1784	1085	657	Tpra1
1879	1809	2713	1528	905	Nab1
2539	2327	2985	2133	973	Adgre5
252	196	340	209	51	Il17ra
11328	10753	15435	8234	4956	Lamb1
618	603	817	480	245	Kcnn1
90	328	146	78	42	Arrdc2
106075	116973	155245	80090	50386	Cd36
3471.76	3318	4487	2514	1349	Map2k7
4682	3947	7404	3862	2311	Timm44
5290	4910	7905	4255	2468	Ap2a2
974	704	1410	684	333	Pnkp
2607	2203	3204	1749	1116	Med25
12557	11669	16183	8650	5536	Bcam
5421	5051	7379	4582	2181	Clptm1
396	274	450	325	145	Relb
2464	2075	3419	1778	1060	Tomm40
24381	18707	32337	23145	8479	Apoe
6	8	8	3	8	Apoc2
5666	5670	8667	4472	2441	Hbp1
136	169	234	193	50	Prkar2b
1547	1262	2092	1162	662	Cdkn1b
995	1235	1041	749	529	Klf4
2064	1772	2544	1496	719	Ap1m1
1507	1347	2074	1123	755	Rab8a
1565.51	1295.02	2611.29	1514.63	884.08	Hmgn2
1690	1281	2293	1192	715	Fam32a
2	0	0	0	0	Elf3
1	14	10	0	12	Cyp2c29
556	443	737	404	184	Stard3nl
3298	2929	4686	2370	1507	Stk11
66	60	125	48	56	Efna2
23948	19711	32423	18389	9809	Atp5d
3533	2940	4991	2705	1427	Ppp5c
1593	1861	2259	1289	720	Cdk12
2725	3098	2535	1395	752	Lipe
2132	1882	2968	1569	946	Pafah1b2
532	439	790	421	292	Tbc1d8
1090	950	1498	833	527	Cnot11
100	102	169	193	40	Slc2a3
2884	2038	4046	2243	1393	Foxj2
2390	2010	3818	1883	1122	Sri
3247.1	3064.21	5056	2672	1606	Dgcr2
1085	841	1360	793	411	Irf3
277	276	394	237	136	Bcl2l12
202	168.54	317	209	61	Zfp959
2190	1731	2765	1710	774	Mpnd
642	501	874	447	244	Sh3gl1
30	28	34	19	34	Ebi3
272	186	421	185	145	Yju2
10040	10807	16380	8974	5593	Ranbp2
74	45	39	44	3	Edar
4733.68	4373	6107.34	3423.75	2198.02	Grk5
1734	1849	2206	1337	653	Dvl3
2687	2418	3825	2317	1326	Abcf3
2596	2257	4205	2240	1121	Eif2b5
1362	1097	2067	1066	593	Cyth2
0	0	1	0	10	Sult2b1
142	116	231	153	77	Car11
45	49	32	63	22	Dlgap1
345	266	445	180	146	Plag1
44	56	94	136	26	Hck
4132	3418	5498	3036	1698	Mrpl4
2801	2672	4073	2237	1153	Keap1
11697	12670	18338	11137	6679	Glg1
0	0	0	2	0	Atp8b3
2229	1716	2922	1645	908	Btbd2
3418	2572	4596	2616	1504	Csnk1g2
1029	838	1285	795	472	Abhd17a
331	356	480	433	162	Mob3a
163	137	239	91	61	Cacnb3
3	2	21	3	5	Ccdc65
125	105	154	61	39	Fkbp11
2951	2572	4189	2280	1445	Ddx23
1581	1290	2313	1208	684	Pld3
235	174	276	184	99	Grik5
50	23	59	181	37	Cd79a
4874	3493	6436	3974	2332	Rabac1
1305	1149	2158	1048	736	Etv3
2404	2143	3511	1903	880	Prkcsh
19	12	4	3	3	Elavl3
11	2	17	9	0	Rab3b
327	373	445	215	148	St8sia6
4777	4034	6490	3526	2005	Fcgrt
1519	1233	2112	1133	721	Nosip
1833	1421	2606	1377	773	Pih1d1
15419	11468	22110	12555	6484	Rps11
3525	3292	5471	2785	1611	Supt5
0	0	4	0	0	Dll3
1933	1645	2540	1505	830	Paf1
1918	1431	2444	1524	783	Timm50
1272	882	1928	983	545	Med29
477	558	946	427	347	Bicd1
2602	2563	3565	2132	1047	Ncstn
7824	7574	11916	6036	3576	Pex19
727	769	1201	595	445	Phyhip
1757	1432	1858	1020	548	Crhr2
617	599	739	789	55	Inmt
9	5	6	30	0	Cyp4f18
1054	851	1262	617	300	Impdh1
6436	7273	9530	5312	3454	Dusp3
1598	957	2076	821	509	Prodh
573	464	915	476	225	Ess2
360	325	1085	252	77	Slc25a1
1120	878	1466	915	448	Dgcr6
1902	1691	2401	1322	873	Ddr1
616	705	916	450	260	Ier3
28	12	17	9	41	Fosb
1374	1190	1903	857	496	Klc4
641	649	1040	499	277	Ercc1
5	10	0	0	0	Cyp17a1
3431	2848	5326	2483	1557	As3mt
208	202	257	157	102	Homer3
570	514	630	369	231	Crtc1
568	441	769	345	199	Rnf215
36	42	43	24	8	Sec14l2
616	559	892	536	350	Aven
3598	3389	5000	2813	1452	Cp
1955	2075	3055	1714	953	Crot
305	271	393	247	170	Rps6ka1
0	1	0	0	0	Calb2
8845	8654	13216	7026	4530	Snrnp200
1899	1752	3127	1573	849	Ciao1
12	14	10	0	5	Has1
270	224	400	205	97	Taf6l
2273	2227	3552	2076	987	Insig2
5256	4846	8054	4276	2910	Kpna6
2634	2560	3942	2314	1223	Man1a
314	317	452	244	101	Itpkc
384	385	562	257	187	Coq8b
1726	1374	2523	1447	679	Brd8
180	144	143	98	77	Kif20a
1055	844	1480	725	418	Farsa
3496	2880	5847	2907	1465	Gcdh
7136	7245	11429	5701	3613	Mast2
692	582	886	489	215	Dnase2a
3116	2593	4647	2442	1427	Rad23a
12887	11399	18486	12115	6853	Calr
38	42	68	18	13	Syce2
2438	2758	3373	1880	1094	Nfat5
696	574	943	517	190	Nob1
2739	2361	4652	2134	1624	Nqo1
9	6	9	1	14	Ppfia3
7028	6388	10580	5077	3095	Gys1
937	781	1317	776	432	Ruvbl2
27	21	58	25	8	Lin7b
729.59	526.72	807.6	500.73	255	Bax
42	54	90	64	8	Il7r
2223	2075	3676	2008	1094	Tfam
582	461	805	514	314	Zfp81
5971	6511	8801	5834	3104	Efnb3
1519.82	1568.86	2044.41	1497.48	742.66	Mmd
518	1419	757	546	263	Hlf
2632	2353	4710	2901	1277	Fam162a
16175	12060	23794	14301	7172	Rpl8
9	32	25	13	12	Grm3
2149	1673	3253	1560	860	Ssbp2
467	405	803	383	202	Fancl
18	24	9	12	14	Brinp2
3261	2494	5230	2597	1241	Gstm5
2267	1633	3775	2099	1028	Gstm7
1.02	0	0	2	0	Gstm3
8684	7870	10787	5710	4000	Stat3
1547.83	1174.04	1774.65	1029.41	638.29	Stat5a
11093	8326	13751	7082	4194	Cavin1
1490	1113	1839	1144	684	Map3k11
9709.02	7896.89	13819.6	7281.41	4233.7	Akt2
7463	6952	11803	6501	3951	Dnaja3
3694	2865	5710	2790	1547	Hmox2
5044	4299	7586	4120	2458	Cdip1
26965	26878	43195	22261	15982	Map3k20
2477	1946	4073	2046	1204	Cwc15
1894	1594	2338	1161	758	Col5a3
1533	1364	2010	1260	751	Dnmt1
296.04	174.01	357	256.06	121	Ppan
5685	5306	7340	3528	2448	Angptl2
9	30	32	21	0	Cacna1e
12	4	19	7	0	Cacna1b
131	134	189	106	39	Trmt10a
558.56	624.45	850.09	812.17	139	Etv1
183	96	245	100	78	Kifc2
74389	67233	104850	53390	33230	Psap
2745	2446	4119	2151	1309	Ikbkg
513	501	929	423	325	Wars2
775	1005	852	603	390	Atn1
7551.4	6926.76	11324.32	5836.82	3476	Phb2
362	267	369	387	151	Ptpn6
112	85	133	44	38	Eno2
2422	2017	4101	2000	1054	Emg1
2071	2336	2723	1317	719	Lpcat3
3142	2340	4593	2392	1323	Atp6v1f
0	1	0	0	0	Il12b
322	369	497	236	120	Clcn5
3161	3244	5636	2790	1911	Clcn3
31	184	40	9	13	Hif3a
4886	3231	7511	3926	2001	Pde1c
1766	1863	2627	1377	1032	Utp20
10	6	20	3	4	Spic
17	40	21	18	4	9330159F19Rik
8624	8669	13815	7237	4475	Cul3
1	0	0	0	0	Il11
3867	3714	6831	3561	2332	Large1
1085	1002	1715	751	536	Ddx56
4059	3676	6760	3523	2141	Tmed4
29	18	53	18	11	Col26a1
33	23	25	39	14	Bid
1676	1249	2364	1325	585	Ralb
6782.37	5677.95	9980.99	5033.81	3088.06	Ppp1cc
2229	1801	3115	1848	1029	Dnajb11
774	612	1153	593	319	Tbccd1
125	122	172	79	104	Clec11a
402	350	583	246	195	Zfp324
1782	1812	2349	1330	735	Gab2
1876	1599	2496	1361	641	Coro1c
7498	7222	13013	6663	4016	Tax1bp1
100	50	106	166	40	Ctse
73571	64775	118062	58683	34983	Ndrg2
1098	883	1736	902	579	Mettl17
1509	1130	1873	1089	569	Arhgef40
515	405	672	303	194	Pnpla6
1114	958	1297	713	401	Mcoln1
1307	1104	1768	904	615	Arhgef18
3132	3059	4766	2544	1809	Pkn2
295	205	318	146	87	Cd33
33956.81	25745.48	49702.16	25370.24	12107	Etfb
15	29	8	24	7	Nkg7
151	124	229	97	58	Stxbp2
0	0	1	0	0	Pcp2
823	892	1203	725	368	Sgce
159	144	216	77	38	Chn2
314	255	451	276	117	Wwox
609	513	918	492	335	Slbp
15368	19969	26305	13197	7637	Aqp1
159	118	253	201	100	Arid3b
2520	1724	3458	2146	1199	Cnn2
3160	2658	4684	2684	1326	Polr2e
4	0	2	0	0	Abca13
1741	1747	2385	1224	784	Myo9b
2100	2167	3502	2029	1081	Hdac9
47	51	72	42	6	Ly9
3	2	1	4	0	Cd244a
864	655	1135	715	312	Adgre1
6691	5755	10899	6038	3258	Mtfp1
486	480	734	407	283	Rab23
2927.59	2906.53	4863	2673.69	1507	Rab11a
1157	850	1491	872	482	Eif2b2
33382	32234	50128	26711	15292	Dlst
140	402	139	111	95	Pgf
5122	4932	7578	3860	2500	Ulk2
232	130	276	135	69	Ccl24
279	249	414	154	106	Dgkq
701	603	766	488	204	Grap
1672	1762	2631	1462	829	Chmp2b
1655	1613	2314	1317	672	Plod3
925	742	1260	753	337	Ap1s1
0	1	10	0	2	Mapk13
2133	1827	3111	1610	981	Srpk1
1	2	0	4	0	Pax3
1705	1532	2616	1374	897	Lbr
0	0	1	0	0	Crabp2
1858	1762	2257	1394	875	Nes
0	0	0	2	0	Bcan
2219	1809	2791	1598	854	Prcc
391	243	406	243	178	Rrnad1
4247	3450	5846	3016	1885	Hdgf
3	3	3	10	1	Slc25a18
691	600	799	615	306	Thop1
3223	2560	4463	2338	1581	Apba3
22	12	24	16	7	Matk
630	419	772	438	338	Pias4
2263	2113	3302	1928	1270	Map2k1
4474	3790	5650	3208	1655	Sgta
517	1009	626	257	203	Nmrk2
3753	3132	6478	3495	1707	Tmem242
507	386	731	286	204	Dtx2
2	0	0	0	0	Zp3
9889.62	7187.58	13911.21	7638.24	4850.46	Hspb1
341	241	550	173	145	Rasa4
11	3	14	11	0	Syt5
8972	8666	14180	8061	3733	Hnrnpa2b1
396	309	521	313	226	Ccdc130
295	287	397	214	109	Mri1
4558	4323	6710	3691	2447	Prkacb
715	569	813	412	259	Sgsh
31	20	69	23	41	Chd5
636	509	1095	521	255	Cstb
39	34	59	35	11	Sh2b2
